task_id,title,language,repository,base_commit_hash,prompt_characters,category,f2p_test_count,p2p_test_count,gold_patch_files,gold_patch_insertions,gold_patch_deletions,gold_patch_changed_lines,total_trials,effective_trials,excluded_trials,error_rate,verifier_timeouts,model_coverage,config_coverage,minimum_effective_repeats,base_model_equal_pass_rate,config_equal_pass_rate,low_model_count,high_model_count,item_rest_correlation_config,item_rest_correlation_base_model,between_config_variance,within_config_mean_variance,discrimination_signal_ratio,v1_pass_rate,v1_1_pass_rate_on_shared_rollouts,v1_to_v1_1_delta,scoring_sensitive,rank_score,difficulty_band,patch_size_band,layer_01_stable,layer_01_exclusion_reasons,layer_02_broad,layer_02_exclusion_reasons,layer_03_core,layer_03_exclusion_reasons
abs-module-cache-flags,"Harden module loading, cache introspection, and script flags",go,abs-lang/abs,cb1b3b671d0ee9fa9da9f7b02f86967953ffd10a,2524,enhancement,20,3,4,701,26,727,200,200,0,0.0,0,18,50,4,0.683333,0.715,2,9,0.497621,0.535956,0.100025,0.025937,0.794086,0.875,0.875,0.0,False,0.580069,easy,medium,True,[],False,"[""low_model_count""]",False,"[""config_equal_pass_rate"", ""low_model_count""]"
abs-stepped-slices,Add stepped slices for arrays and strings,go,abs-lang/abs,cb1b3b671d0ee9fa9da9f7b02f86967953ffd10a,3384,feature_request,6,6,3,463,82,545,200,200,0,0.0,0,18,50,4,0.627083,0.715,6,10,0.490105,0.539343,0.122525,0.020313,0.857793,0.875,0.825,-0.05,False,0.601525,easy,small,True,[],True,[],False,"[""config_equal_pass_rate""]"
actionlint-action-pinning-lint,Add action pinning linting for actions and reusable workflows,go,rhysd/actionlint,0bdc95715fa58f64e3fd6e63b0f89be8733cbbab,2060,feature_request,55,145,4,820,14,834,200,200,0,0.0,0,18,50,4,0.829861,0.825,1,15,0.426461,0.562119,0.055625,0.022187,0.714859,0.875,0.9,0.025,False,0.509437,easy,large,True,[],False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""low_model_count""]",False,"[""base_model_equal_pass_rate"", ""config_equal_pass_rate"", ""low_model_count""]"
adaptix-name-mapping-aliases,Add input key aliases to name mapping,python,reagento/adaptix,a691069fcadf9131e5f7a5a130a022dc678f3e1d,982,feature_request,44,2738,8,492,18,510,200,200,0,0.0,0,18,50,4,0.557639,0.66,6,8,0.715386,0.720487,0.1594,0.01625,0.907486,0.675,0.7,0.025,False,0.772015,medium,small,True,[],True,[],True,[]
aiomonitor-task-snapshots-diff,"Add task snapshots, inspection, and diffing to aiomonitor",python,aio-libs/aiomonitor,b73fea2e0682803bda7531c93cd1dfb360839175,1733,feature_request,53,8,5,612,0,612,199,198,1,0.005025,0,18,50,3,0.661111,0.69,3,10,0.648205,0.592795,0.1439,0.0175,0.891574,0.8367,0.7949,-0.0419,False,0.685983,easy,medium,True,[],True,[],False,"[""low_model_count""]"
anko-default-function-arguments,Add default arguments to Anko function parameters,go,mattn/anko,9d2d84bb1564e9513287998c56ccf16c01c19008,874,feature_request,2,119,3,438,4,442,200,200,0,0.0,0,18,50,4,0.603472,0.675,4,7,0.681805,0.634868,0.103125,0.029063,0.780142,0.775,0.75,-0.025,False,0.700863,easy,small,True,[],True,[],True,[]
anko-typed-variable-bindings,Add typed variable bindings to Anko,go,mattn/anko,3f269a72ff69398b1250c584171f32d12c0d8085,1726,feature_request,9,94,9,460,39,499,200,200,0,0.0,0,18,50,4,0.497222,0.48,5,6,0.690869,0.716535,0.1421,0.026875,0.840953,0.475,0.5,0.025,False,0.75766,medium,small,True,[],True,[],True,[]
arcane-drift-detection-baselines,Add drift detection and compliance baselines,go,getarcaneapp/arcane,d34a5e2a6c5eb0f0955039775f5b9538424b58ff,5385,feature_request,82,2,14,1083,0,1083,200,199,1,0.005,0,18,50,3,0.57037,0.686667,5,7,0.689608,0.704718,0.120711,0.023981,0.834259,0.6122,0.6,-0.0122,False,0.739281,medium,large,True,[],True,[],True,[]
arktype-json-schema-refs-dependencies,Add JSON Schema refs and dependency keywords,typescript,arktypeio/arktype,04355e8b26d1ad5264ef62314a2bc46c4de58ed8,1893,feature_request,25,1679,7,524,160,684,200,199,1,0.005,1,18,50,3,0.386574,0.381667,6,2,0.416613,0.437606,0.075303,0.040544,0.650021,0.275,0.375,0.1,True,0.504196,hard,medium,True,[],False,"[""high_model_count""]",False,"[""high_model_count""]"
awilix-async-container-initialization,Add dependency-aware async initialization to the container,typescript,jeffijoe/awilix,82ac179c1de4c216c4e333093044fac643303f0c,2248,feature_request,24,162,4,557,13,570,200,196,4,0.02,0,18,50,3,0.38125,0.335,8,3,-0.018894,0.035077,0.115136,0.02765,0.806351,0.275,0.3,0.025,False,0.237787,hard,small,True,[],True,[],False,"[""high_model_count"", ""item_rest_correlation_config""]"
