task_id,title,language,repository,base_commit_hash,prompt_characters,category,f2p_test_count,p2p_test_count,gold_patch_files,gold_patch_insertions,gold_patch_deletions,gold_patch_changed_lines,total_trials,effective_trials,excluded_trials,error_rate,verifier_timeouts,model_coverage,config_coverage,minimum_effective_repeats,base_model_equal_pass_rate,config_equal_pass_rate,low_model_count,high_model_count,item_rest_correlation_config,item_rest_correlation_base_model,between_config_variance,within_config_mean_variance,discrimination_signal_ratio,v1_pass_rate,v1_1_pass_rate_on_shared_rollouts,v1_to_v1_1_delta,scoring_sensitive,rank_score,difficulty_band,patch_size_band,layer_01_stable,layer_01_exclusion_reasons,layer_02_broad,layer_02_exclusion_reasons,layer_03_core,layer_03_exclusion_reasons
abs-stepped-slices,Add stepped slices for arrays and strings,go,abs-lang/abs,cb1b3b671d0ee9fa9da9f7b02f86967953ffd10a,3384,feature_request,6,6,3,463,82,545,200,200,0,0.0,0,18,50,4,0.627083,0.715,6,10,0.490105,0.539343,0.122525,0.020313,0.857793,0.875,0.825,-0.05,False,0.601525,easy,small,True,[],True,[],False,"[""config_equal_pass_rate""]"
adaptix-name-mapping-aliases,Add input key aliases to name mapping,python,reagento/adaptix,a691069fcadf9131e5f7a5a130a022dc678f3e1d,982,feature_request,44,2738,8,492,18,510,200,200,0,0.0,0,18,50,4,0.557639,0.66,6,8,0.715386,0.720487,0.1594,0.01625,0.907486,0.675,0.7,0.025,False,0.772015,medium,small,True,[],True,[],True,[]
aiomonitor-task-snapshots-diff,"Add task snapshots, inspection, and diffing to aiomonitor",python,aio-libs/aiomonitor,b73fea2e0682803bda7531c93cd1dfb360839175,1733,feature_request,53,8,5,612,0,612,199,198,1,0.005025,0,18,50,3,0.661111,0.69,3,10,0.648205,0.592795,0.1439,0.0175,0.891574,0.8367,0.7949,-0.0419,False,0.685983,easy,medium,True,[],True,[],False,"[""low_model_count""]"
anko-default-function-arguments,Add default arguments to Anko function parameters,go,mattn/anko,9d2d84bb1564e9513287998c56ccf16c01c19008,874,feature_request,2,119,3,438,4,442,200,200,0,0.0,0,18,50,4,0.603472,0.675,4,7,0.681805,0.634868,0.103125,0.029063,0.780142,0.775,0.75,-0.025,False,0.700863,easy,small,True,[],True,[],True,[]
anko-typed-variable-bindings,Add typed variable bindings to Anko,go,mattn/anko,3f269a72ff69398b1250c584171f32d12c0d8085,1726,feature_request,9,94,9,460,39,499,200,200,0,0.0,0,18,50,4,0.497222,0.48,5,6,0.690869,0.716535,0.1421,0.026875,0.840953,0.475,0.5,0.025,False,0.75766,medium,small,True,[],True,[],True,[]
arcane-drift-detection-baselines,Add drift detection and compliance baselines,go,getarcaneapp/arcane,d34a5e2a6c5eb0f0955039775f5b9538424b58ff,5385,feature_request,82,2,14,1083,0,1083,200,199,1,0.005,0,18,50,3,0.57037,0.686667,5,7,0.689608,0.704718,0.120711,0.023981,0.834259,0.6122,0.6,-0.0122,False,0.739281,medium,large,True,[],True,[],True,[]
awilix-async-container-initialization,Add dependency-aware async initialization to the container,typescript,jeffijoe/awilix,82ac179c1de4c216c4e333093044fac643303f0c,2248,feature_request,24,162,4,557,13,570,200,196,4,0.02,0,18,50,3,0.38125,0.335,8,3,-0.018894,0.035077,0.115136,0.02765,0.806351,0.275,0.3,0.025,False,0.237787,hard,small,True,[],True,[],False,"[""high_model_count"", ""item_rest_correlation_config""]"
bandit-incremental-cache-control,Add incremental cache controls to Bandit,python,PyCQA/bandit,765f00d3f202f83f61d03f882f80a2d5142d81f8,1746,feature_request,88,275,6,687,4,691,200,200,0,0.0,0,18,50,4,0.386111,0.525,8,5,0.809073,0.770676,0.145625,0.025937,0.848816,0.475,0.575,0.1,True,0.803737,hard,medium,True,[],True,[],True,[]
bandit-interprocedural-taint-checks,Add interprocedural taint checks for Bandit injection sinks,python,PyCQA/bandit,b46fa3a2723635aa29cc012538df4867ac2ac006,1081,feature_request,66,293,9,842,1,843,200,198,2,0.01,0,18,50,3,0.44537,0.506667,8,6,0.476024,0.576737,0.138011,0.028356,0.829555,0.575,0.475,-0.1,True,0.61338,medium,large,True,[],True,[],True,[]
clack-async-autocomplete-options,Add async autocomplete options and fetch lifecycle handling,typescript,bombshell-dev/clack,8a96e2dcd7f821d1250b58cf71c327679f94de25,3029,feature_request,82,643,4,478,64,542,200,198,2,0.01,0,18,50,3,0.326389,0.35,11,4,0.300562,0.418491,0.11,0.029375,0.789238,0.2051,0.275,0.0699,False,0.463001,hard,small,True,[],True,[],True,[]
claude-code-by-agents-recursive-delegation,Implement recursive agent delegation through delegate_task tool calls,typescript,baryhuang/claude-code-by-agents,5e0a2247d446c49a9951a06bb83b6e956dc7eb41,1199,feature_request,7,31,4,756,85,841,199,199,0,0.0,0,18,50,3,0.542361,0.52,4,6,-0.10714,-0.271854,0.1071,0.035625,0.750394,0.102,0.5,0.398,True,0.12543,medium,large,True,[],True,[],False,"[""item_rest_correlation_config""]"
cliffy-config-file-parsing,Add config file parsing to Cliffy commands,typescript,c4spar/cliffy,132a437c40cffbdfbe474ca808c8debde59e2633,1973,feature_request,37,451,7,659,206,865,200,200,0,0.0,0,18,50,4,0.45,0.525,7,7,0.584655,0.548498,0.145625,0.025937,0.848816,0.35,0.275,-0.075,False,0.659982,medium,large,True,[],True,[],True,[]
dasel-html-document-format,Add HTML document format handling to Dasel,go,TomWright/dasel,0dd6132e0c58edbd9b1a5f7ffd00dfab1e6085ad,1546,feature_request,146,1012,4,1088,0,1088,200,196,4,0.02,0,18,50,3,0.394213,0.503333,9,5,0.512888,0.558534,0.190544,0.015231,0.92598,0.425,0.55,0.125,True,0.634472,hard,large,True,[],True,[],True,[]
dateutil-rfc5545-timezone-interop,Add RFC 5545 timezone interoperability to dateutil recurrence parsing,python,dateutil/dateutil,c981f9c7aa91b83cc9bd33a09ecee9e751b06e8d,2890,enhancement,67,2035,1,829,14,843,200,200,0,0.0,0,18,50,4,0.3875,0.4,7,5,0.620012,0.539547,0.135,0.02625,0.837209,0.25,0.4,0.15,True,0.658834,hard,large,True,[],True,[],True,[]
dynamodb-toolbox-conditional-attribute-requirements,Add conditional required attributes to schemas,typescript,dynamodb-toolbox/dynamodb-toolbox,1f2a18664f8aded292707fcafb01ff15ea33d3b8,1243,feature_request,31,1267,36,577,52,629,199,198,1,0.005025,0,18,50,3,0.677315,0.736667,3,9,0.79975,0.797375,0.129544,0.016481,0.887133,0.825,0.775,-0.05,False,0.801195,easy,medium,True,[],True,[],False,"[""config_equal_pass_rate"", ""low_model_count""]"
eicrud-keyset-pagination-cursor,Add keyset cursor pagination to `$find`,typescript,eicrud/eicrud,68dafce,1072,feature_request,14,168,7,443,3,446,200,196,4,0.02,0,18,50,3,0.343056,0.31,12,3,0.399482,0.219331,0.1214,0.023125,0.839993,0.375,0.225,-0.15,True,0.47121,hard,small,True,[],True,[],False,"[""high_model_count""]"
fastapi-deprecation-response-headers,"Add deprecation, sunset, and successor headers to FastAPI routes",python,fastapi/fastapi,11614be9021aa4ac078d4d0693a8b5250a1010d8,2972,feature_request,137,3134,4,784,1,785,200,200,0,0.0,0,18,50,4,0.472917,0.48,7,4,0.649866,0.667384,0.1296,0.03,0.81203,0.5918,0.55,-0.0418,False,0.716275,medium,large,True,[],True,[],True,[]
fastapi-implicit-head-options,Add implicit HEAD and automatic OPTIONS responses to FastAPI routes,python,fastapi/fastapi,11614be9021aa4ac078d4d0693a8b5250a1010d8,1602,feature_request,43,3134,4,939,4,943,200,199,1,0.005,0,18,50,3,0.442824,0.523333,7,3,0.712826,0.668922,0.132511,0.029606,0.817377,0.5102,0.525,0.0148,False,0.740042,medium,large,True,[],True,[],False,"[""high_model_count""]"
fd-deterministic-multi-key-sorting,Add deterministic multi-key sorting to fd,rust,sharkdp/fd,227883606023d62275fb48701aeac90f2b604143,3483,feature_request,43,109,5,642,14,656,200,198,2,0.01,0,18,50,3,0.525694,0.585,5,6,0.555068,0.43316,0.135136,0.02765,0.830143,0.4,0.475,0.075,False,0.61896,medium,medium,True,[],True,[],True,[]
geo-shapeindex-serialization,Add ShapeIndex encoding and decoding,go,golang/geo,87f5a40ea07a4ea629ee5623c72660f3d1b217fa,684,feature_request,24,599,7,460,4,464,200,200,0,0.0,0,18,50,4,0.674306,0.73,5,11,0.473322,0.457181,0.1346,0.015625,0.895989,0.525,0.575,0.05,False,0.571627,easy,small,True,[],True,[],False,"[""config_equal_pass_rate""]"
go-critic-doc-link-checker,Add a checker for broken doc comment links,go,go-critic/go-critic,9aea378c4dccd6f4394196ad8f0873b3e84678c8,1873,feature_request,3,16,4,835,0,835,200,200,0,0.0,0,18,50,4,0.465278,0.515,5,4,0.462624,0.24391,0.121025,0.032188,0.789916,0.551,0.5,-0.051,False,0.520197,medium,large,True,[],True,[],True,[]
httpx-multipart-response-parsing,Add multipart response parsing to HTTPX,python,encode/httpx,b5addb64f0161ff6bfe94c124ef76f6a1fba5254,2112,feature_request,122,1272,5,600,22,622,200,200,0,0.0,0,18,50,4,0.522917,0.64,5,7,0.471369,0.547654,0.1279,0.025625,0.833089,0.6735,0.55,-0.1235,True,0.611064,medium,medium,True,[],True,[],True,[]
httpx-streaming-json-iteration,Add streaming JSON iteration to HTTPX responses,python,encode/httpx,b5addb64f0161ff6bfe94c124ef76f6a1fba5254,2532,feature_request,108,1404,3,523,7,530,200,200,0,0.0,0,18,50,4,0.382639,0.37,9,3,0.064385,0.131917,0.0931,0.035,0.726776,0.3061,0.3,-0.0061,False,0.283835,hard,small,True,[],True,[],False,"[""high_model_count"", ""item_rest_correlation_config""]"
