task_id,title,language,repository,base_commit_hash,prompt_characters,category,f2p_test_count,p2p_test_count,gold_patch_files,gold_patch_insertions,gold_patch_deletions,gold_patch_changed_lines,total_trials,effective_trials,excluded_trials,error_rate,verifier_timeouts,model_coverage,config_coverage,minimum_effective_repeats,base_model_equal_pass_rate,config_equal_pass_rate,low_model_count,high_model_count,item_rest_correlation_config,item_rest_correlation_base_model,between_config_variance,within_config_mean_variance,discrimination_signal_ratio,v1_pass_rate,v1_1_pass_rate_on_shared_rollouts,v1_to_v1_1_delta,scoring_sensitive,rank_score,difficulty_band,patch_size_band,layer_01_stable,layer_01_exclusion_reasons,layer_02_broad,layer_02_exclusion_reasons,layer_03_core,layer_03_exclusion_reasons
adaptix-name-mapping-aliases,Add input key aliases to name mapping,python,reagento/adaptix,a691069fcadf9131e5f7a5a130a022dc678f3e1d,982,feature_request,44,2738,8,492,18,510,200,200,0,0.0,0,18,50,4,0.557639,0.66,6,8,0.715386,0.720487,0.1594,0.01625,0.907486,0.675,0.7,0.025,False,0.772015,medium,small,True,[],True,[],True,[]
anko-default-function-arguments,Add default arguments to Anko function parameters,go,mattn/anko,9d2d84bb1564e9513287998c56ccf16c01c19008,874,feature_request,2,119,3,438,4,442,200,200,0,0.0,0,18,50,4,0.603472,0.675,4,7,0.681805,0.634868,0.103125,0.029063,0.780142,0.775,0.75,-0.025,False,0.700863,easy,small,True,[],True,[],True,[]
anko-typed-variable-bindings,Add typed variable bindings to Anko,go,mattn/anko,3f269a72ff69398b1250c584171f32d12c0d8085,1726,feature_request,9,94,9,460,39,499,200,200,0,0.0,0,18,50,4,0.497222,0.48,5,6,0.690869,0.716535,0.1421,0.026875,0.840953,0.475,0.5,0.025,False,0.75766,medium,small,True,[],True,[],True,[]
arcane-drift-detection-baselines,Add drift detection and compliance baselines,go,getarcaneapp/arcane,d34a5e2a6c5eb0f0955039775f5b9538424b58ff,5385,feature_request,82,2,14,1083,0,1083,200,199,1,0.005,0,18,50,3,0.57037,0.686667,5,7,0.689608,0.704718,0.120711,0.023981,0.834259,0.6122,0.6,-0.0122,False,0.739281,medium,large,True,[],True,[],True,[]
bandit-incremental-cache-control,Add incremental cache controls to Bandit,python,PyCQA/bandit,765f00d3f202f83f61d03f882f80a2d5142d81f8,1746,feature_request,88,275,6,687,4,691,200,200,0,0.0,0,18,50,4,0.386111,0.525,8,5,0.809073,0.770676,0.145625,0.025937,0.848816,0.475,0.575,0.1,True,0.803737,hard,medium,True,[],True,[],True,[]
bandit-interprocedural-taint-checks,Add interprocedural taint checks for Bandit injection sinks,python,PyCQA/bandit,b46fa3a2723635aa29cc012538df4867ac2ac006,1081,feature_request,66,293,9,842,1,843,200,198,2,0.01,0,18,50,3,0.44537,0.506667,8,6,0.476024,0.576737,0.138011,0.028356,0.829555,0.575,0.475,-0.1,True,0.61338,medium,large,True,[],True,[],True,[]
clack-async-autocomplete-options,Add async autocomplete options and fetch lifecycle handling,typescript,bombshell-dev/clack,8a96e2dcd7f821d1250b58cf71c327679f94de25,3029,feature_request,82,643,4,478,64,542,200,198,2,0.01,0,18,50,3,0.326389,0.35,11,4,0.300562,0.418491,0.11,0.029375,0.789238,0.2051,0.275,0.0699,False,0.463001,hard,small,True,[],True,[],True,[]
cliffy-config-file-parsing,Add config file parsing to Cliffy commands,typescript,c4spar/cliffy,132a437c40cffbdfbe474ca808c8debde59e2633,1973,feature_request,37,451,7,659,206,865,200,200,0,0.0,0,18,50,4,0.45,0.525,7,7,0.584655,0.548498,0.145625,0.025937,0.848816,0.35,0.275,-0.075,False,0.659982,medium,large,True,[],True,[],True,[]
dasel-html-document-format,Add HTML document format handling to Dasel,go,TomWright/dasel,0dd6132e0c58edbd9b1a5f7ffd00dfab1e6085ad,1546,feature_request,146,1012,4,1088,0,1088,200,196,4,0.02,0,18,50,3,0.394213,0.503333,9,5,0.512888,0.558534,0.190544,0.015231,0.92598,0.425,0.55,0.125,True,0.634472,hard,large,True,[],True,[],True,[]
dateutil-rfc5545-timezone-interop,Add RFC 5545 timezone interoperability to dateutil recurrence parsing,python,dateutil/dateutil,c981f9c7aa91b83cc9bd33a09ecee9e751b06e8d,2890,enhancement,67,2035,1,829,14,843,200,200,0,0.0,0,18,50,4,0.3875,0.4,7,5,0.620012,0.539547,0.135,0.02625,0.837209,0.25,0.4,0.15,True,0.658834,hard,large,True,[],True,[],True,[]
