task,trial,outcome,degraded_reason,review_count,revision_count,initial_reward,final_reward,delta,classification,final_score_source,final_conformance,itt_included,completed_protocol,job,repeat,selected_strong_model,started_at,modifier_minutes,reviewer_minutes,initial_minutes,f2p_passed,f2p_total,p2p_passed,p2p_total
wazero-multi-module-snapshots,wazero-multi-module-snapshots__BdjyeYM,approved,,3,2,1,1,0.0,unchanged,direct,unavailable,False,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-141135,R1,opus,2026-09-09T11:32:10.413570Z,28.596016666666667,2.9092333333333333,10.044083333333333,78,78,2,2
wazero-multi-module-snapshots,wazero-multi-module-snapshots__KPPe9xz,approved,,3,2,1,0,-1.0,harmed,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R2,opus,2026-09-09T17:16:58.380555Z,28.224966666666667,2.918083333333333,15.019416666666666,77,78,2,2
wazero-multi-module-snapshots,wazero-multi-module-snapshots__i4T9k3w,approved,,3,2,1,0,-1.0,harmed,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R3,opus,2026-09-09T21:57:55.897467Z,24.8164,2.82135,16.021083333333333,77,78,2,2
wazero-multi-module-snapshots,wazero-multi-module-snapshots__jWXWkep,max_reviews_reached,,3,3,1,1,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260910-113555,R4,opus,2026-09-10T09:45:03.873748Z,39.95066666666666,3.98005,12.3806,78,78,2,2
ts-pattern-match-each,ts-pattern-match-each__UoNHwZA,approved,,2,1,1,0,-1.0,harmed,direct,unavailable,False,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-141135,R1,opus,2026-09-09T09:50:25.774704Z,12.054066666666667,2.0411,6.760533333333333,0,85,6,6
ts-pattern-match-each,ts-pattern-match-each__MSgp3BT,approved,,3,2,1,0,-1.0,harmed,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R2,opus,2026-09-09T16:50:56.666142Z,11.118316666666667,3.0928333333333335,5.2659666666666665,0,85,6,6
ts-pattern-match-each,ts-pattern-match-each__p5ZyuSX,approved,,3,2,1,0,-1.0,harmed,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R3,opus,2026-09-09T21:06:51.094040Z,10.9284,3.048216666666667,5.607933333333333,0,85,6,6
ts-pattern-match-each,ts-pattern-match-each__9WtRgUX,approved,,3,2,1,0,-1.0,harmed,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260910-113555,R4,opus,2026-09-10T08:00:26.815953Z,13.456666666666667,3.12355,7.263166666666667,0,85,6,6
python-statemachine-state-data-scoping,python-statemachine-state-data-s__M8tgWGA,approved,,3,2,0,0,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-141135,R1,opus,2026-09-09T06:11:42.024432Z,42.01408333333333,4.833316666666667,28.064683333333335,70,72,1286,1286
python-statemachine-state-data-scoping,python-statemachine-state-data-s__nCMz8HC,degraded,timeout,1,0,0,0,0.0,unchanged,direct,matched,True,False,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R2,opus,2026-09-09T14:52:25.672651Z,83.26725,1.7529333333333332,81.07566666666666,70,72,1286,1286
python-statemachine-state-data-scoping,python-statemachine-state-data-s__HHUQ2me,max_reviews_reached,,3,3,1,1,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R3,opus,2026-09-09T18:43:32.427461Z,48.98028333333333,4.75295,24.614266666666666,72,72,1286,1286
python-statemachine-state-data-scoping,python-statemachine-state-data-s__rCZqrRc,approved,,3,2,1,1,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260910-113555,R4,opus,2026-09-10T03:36:04.126373Z,38.51128333333333,5.11375,28.108783333333335,72,72,1286,1286
helm-array-merge-strategies,helm-array-merge-strategies__SPFKWu8,max_reviews_reached,,3,3,0,0,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-141135,R1,opus,2026-09-09T13:00:46.408950Z,59.63976666666667,6.380316666666666,23.394933333333334,47,47,10,12
helm-array-merge-strategies,helm-array-merge-strategies__xUQkRLr,max_reviews_reached,,3,3,0,0,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R2,opus,2026-09-09T18:31:10.645520Z,62.8268,5.101733333333334,28.889233333333333,47,47,10,12
helm-array-merge-strategies,helm-array-merge-strategies__xBhbtRW,max_reviews_reached,,3,3,1,0,-1.0,harmed,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R3,opus,2026-09-09T22:29:37.818976Z,70.13356666666667,6.41785,28.590416666666666,46,47,12,12
helm-array-merge-strategies,helm-array-merge-strategies__DqVdis4,max_reviews_reached,,3,3,1,1,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260910-113555,R4,opus,2026-09-10T11:40:11.886255Z,60.3474,6.245416666666666,28.887366666666665,47,47,12,12
testem-bail-on-test-failure,testem-bail-on-test-failure__YJ7WNtR,max_reviews_reached,,3,3,1,1,0.0,unchanged,direct,unavailable,False,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-141135,R1,opus,2026-09-09T07:46:36.631795Z,26.7721,5.016566666666667,12.850566666666667,90,90,489,489
testem-bail-on-test-failure,testem-bail-on-test-failure__WHHG6Gv,max_reviews_reached,,3,3,1,1,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R2,opus,2026-09-09T15:43:18.002778Z,34.05835,4.698483333333333,15.009466666666667,90,90,489,489
testem-bail-on-test-failure,testem-bail-on-test-failure__RhNwZe5,max_reviews_reached,,3,3,1,1,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R3,opus,2026-09-09T19:44:54.579966Z,42.02728333333334,4.8924666666666665,24.05065,90,90,489,489
testem-bail-on-test-failure,testem-bail-on-test-failure__Pp6Kmv4,max_reviews_reached,,3,3,1,1,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260910-113555,R4,opus,2026-09-10T05:21:50.692013Z,39.66708333333333,5.3616166666666665,21.519383333333334,90,90,489,489
httpx-streaming-json-iteration,httpx-streaming-json-iteration__PxKpipL,approved,,3,2,1,1,0.0,unchanged,direct,unavailable,False,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-141135,R1,astra,2026-09-09T08:19:43.939373Z,22.4278,3.0576333333333334,12.231033333333333,108,108,1404,1404
httpx-streaming-json-iteration,httpx-streaming-json-iteration__UFBmthT,max_reviews_reached,,3,3,0,1,1.0,improved,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R2,astra,2026-09-09T16:18:26.070486Z,28.475483333333333,3.3011666666666666,9.95335,108,108,1404,1404
httpx-streaming-json-iteration,httpx-streaming-json-iteration__kadJLus,max_reviews_reached,,3,3,0,1,1.0,improved,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R3,astra,2026-09-09T20:32:36.920732Z,28.419333333333334,5.07795,14.496033333333333,108,108,1404,1404
httpx-streaming-json-iteration,httpx-streaming-json-iteration__YAPqLS7,approved,,3,2,0,0,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260910-113555,R4,astra,2026-09-10T06:07:51.227954Z,21.84251666666667,4.131633333333333,9.351883333333333,107,108,1404,1404
koota-deferred-mutation-buffer,koota-deferred-mutation-buffer__UPFdjrk,max_reviews_reached,,3,3,0,0,0.0,unchanged,direct,unavailable,False,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-141135,R1,astra,2026-09-09T08:46:32.676459Z,58.5749,3.981733333333333,24.411233333333332,70,71,128,128
koota-deferred-mutation-buffer,koota-deferred-mutation-buffer__DEVNTi6,max_reviews_reached,,3,3,0,0,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R2,astra,2026-09-09T16:22:58.575214Z,48.20385,4.9894,18.229016666666666,70,71,128,128
koota-deferred-mutation-buffer,koota-deferred-mutation-buffer__Wkq9Kmb,degraded,timeout,1,1,0,1,1.0,improved,direct,matched,True,False,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R3,astra,2026-09-09T20:32:41.403637Z,83.03255,1.4111666666666667,36.6133,71,71,128,128
koota-deferred-mutation-buffer,koota-deferred-mutation-buffer__2e7fzRu,degraded,timeout,3,2,0,0,0.0,unchanged,direct,matched,True,False,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260910-113555,R4,astra,2026-09-10T06:34:40.342915Z,78.8937,6.0983,28.083833333333335,67,71,128,128
bandit-interprocedural-taint-checks,bandit-interprocedural-taint-che__SNNhDSU,max_reviews_reached,,3,3,1,1,0.0,unchanged,direct,unavailable,False,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-141135,R1,astra,2026-09-09T06:59:44.681690Z,40.378416666666666,5.1859,15.4029,66,66,293,293
bandit-interprocedural-taint-checks,bandit-interprocedural-taint-che__rYaxLjJ,max_reviews_reached,,3,3,1,1,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R2,astra,2026-09-09T14:52:25.795135Z,44.68065,5.229816666666666,16.767833333333332,66,66,293,293
bandit-interprocedural-taint-checks,bandit-interprocedural-taint-che__QtXSxTw,max_reviews_reached,,3,3,1,1,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R3,astra,2026-09-09T19:38:24.631558Z,48.4469,4.785566666666667,10.453433333333333,66,66,293,293
bandit-interprocedural-taint-checks,bandit-interprocedural-taint-che__HwGSpWh,max_reviews_reached,,3,3,1,1,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260910-113555,R4,astra,2026-09-10T04:20:47.862914Z,55.58578333333333,4.49355,14.432416666666667,66,66,293,293
optique-conditional-option-dependencies,optique-conditional-option-depen__TDXVJCn,max_reviews_reached,,3,3,0,0,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-141135,R1,astra,2026-09-09T12:05:00.915778Z,49.530516666666664,5.198716666666667,29.42725,35,36,2034,2034
optique-conditional-option-dependencies,optique-conditional-option-depen__prND3MS,max_reviews_reached,,3,3,0,0,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R2,astra,2026-09-09T17:49:34.538349Z,47.7386,5.1672,17.484483333333333,35,36,2034,2034
optique-conditional-option-dependencies,optique-conditional-option-depen__dGM7BuJ,max_reviews_reached,,3,3,1,1,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260909-225214,R3,astra,2026-09-09T22:27:02.527442Z,59.647816666666664,4.1691666666666665,29.7628,36,36,2034,2034
optique-conditional-option-dependencies,optique-conditional-option-depen__iMWi7DP,max_reviews_reached,,3,3,1,1,0.0,unchanged,direct,matched,True,True,collab-claude-codex-complementary-opus-astra-medium-10-tasks-20260910-113555,R4,astra,2026-09-10T10:30:33.210443Z,63.00285,5.553416666666666,21.5011,36,36,2034,2034
