task,trial,outcome,degraded_reason,review_count,revision_count,initial_reward,final_reward,delta,classification,final_score_source,final_conformance,itt_included,completed_protocol,job,repeat,selected_strong_model,started_at,modifier_minutes,reviewer_minutes,initial_minutes,f2p_passed,f2p_total,p2p_passed,p2p_total
wazero-multi-module-snapshots,wazero-multi-module-snapshots__TsT8A3h,approved,,3,2,0,1,1.0,improved,direct,unavailable,False,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-140937,R1,opus,2026-09-09T10:16:01.424789Z,14.264833333333334,9.418283333333333,9.39955,78,78,2,2
wazero-multi-module-snapshots,wazero-multi-module-snapshots__twxPKV5,approved,,2,1,0,1,1.0,improved,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R2,opus,2026-09-09T18:40:16.614003Z,8.0761,11.65095,5.540583333333333,78,78,2,2
wazero-multi-module-snapshots,wazero-multi-module-snapshots__K3p9Bt7,approved,,2,1,0,1,1.0,improved,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R3,opus,2026-09-09T23:35:12.968056Z,8.320166666666667,8.421766666666667,4.916033333333333,78,78,2,2
wazero-multi-module-snapshots,wazero-multi-module-snapshots__bYNHj9F,approved,,3,2,0,1,1.0,improved,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260910-113656,R4,opus,2026-09-10T08:01:01.318827Z,13.599066666666667,13.061533333333333,8.016883333333332,78,78,2,2
ts-pattern-match-each,ts-pattern-match-each__RcQxmE7,approved,,1,0,0,0,0.0,unchanged,direct,unavailable,False,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-140937,R1,opus,2026-09-09T09:28:49.257550Z,3.150733333333333,5.996183333333334,3.150733333333333,0,85,6,6
ts-pattern-match-each,ts-pattern-match-each__GXKqmUv,approved,,1,0,0,0,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R2,opus,2026-09-09T18:09:05.111636Z,3.83545,4.917,3.83545,0,85,6,6
ts-pattern-match-each,ts-pattern-match-each__CXtDMaw,approved,,1,0,0,0,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R3,opus,2026-09-09T22:27:06.369899Z,3.3067333333333333,8.598733333333334,3.3067333333333333,0,85,6,6
ts-pattern-match-each,ts-pattern-match-each__pi8yfyQ,approved,,1,0,0,0,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260910-113656,R4,opus,2026-09-10T07:00:38.887766Z,3.5294166666666666,5.67945,3.5294166666666666,0,85,6,6
python-statemachine-state-data-scoping,python-statemachine-state-data-s__EcCdJRK,approved,,2,1,0,0,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-140937,R1,opus,2026-09-09T06:09:44.009482Z,17.579516666666667,25.242683333333332,11.854583333333334,69,72,1286,1286
python-statemachine-state-data-scoping,python-statemachine-state-data-s__7AAQY7A,degraded,timeout,2,2,0,0,0.0,unchanged,direct,matched,True,False,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R2,opus,2026-09-09T14:52:12.802419Z,21.4138,63.60463333333333,10.669433333333334,69,72,1286,1286
python-statemachine-state-data-scoping,python-statemachine-state-data-s__Y29T8Fu,approved,,2,1,0,0,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R3,opus,2026-09-09T20:11:59.906114Z,9.59615,16.893683333333332,8.37275,69,72,1286,1286
python-statemachine-state-data-scoping,python-statemachine-state-data-s__PicsD9c,approved,,3,2,0,0,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260910-113656,R4,opus,2026-09-10T03:37:04.389030Z,17.165783333333334,29.322016666666666,8.722766666666667,69,72,1286,1286
helm-array-merge-strategies,helm-array-merge-strategies__BStaRaX,approved,,2,1,0,0,0.0,unchanged,direct,unavailable,False,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-140937,R1,opus,2026-09-09T11:01:29.304973Z,20.069266666666667,22.995516666666667,15.021283333333333,47,47,10,12
helm-array-merge-strategies,helm-array-merge-strategies__v4UpsXx,max_reviews_reached,,3,3,0,1,1.0,improved,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R2,opus,2026-09-09T19:22:04.151099Z,21.848583333333334,22.230116666666667,13.235683333333334,47,47,12,12
helm-array-merge-strategies,helm-array-merge-strategies__6LmMDnY,approved,,2,1,0,0,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R3,opus,2026-09-10T00:32:44.140957Z,22.5105,19.310933333333335,17.872233333333334,47,47,10,12
helm-array-merge-strategies,helm-array-merge-strategies__e742jBw,approved,,1,0,0,0,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260910-113656,R4,opus,2026-09-10T09:17:31.579105Z,17.11725,13.043516666666667,17.11725,47,47,10,12
testem-bail-on-test-failure,testem-bail-on-test-failure__adCSMim,approved,,1,0,0,0,0.0,unchanged,direct,unavailable,False,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-140937,R1,opus,2026-09-09T07:14:00.577031Z,7.09825,15.505033333333333,7.09825,89,90,489,489
testem-bail-on-test-failure,testem-bail-on-test-failure__qFV92xc,approved,,1,0,0,0,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R2,opus,2026-09-09T16:35:42.640014Z,6.1422,15.699833333333334,6.1422,86,90,489,489
testem-bail-on-test-failure,testem-bail-on-test-failure__fVSkpt3,approved,,1,0,0,0,0.0,unchanged,direct,matched,True,True,collab-codex-claude-complementary-opus-astra-medium-10-tasks-20260909-225200,R3,opus,2026-09-09T20:52:49.560980Z,5.9789666666666665,14.296066666666666,5.9789666666666665,88,90,489,489
