direction,job,task,trial,started_at,eligible,ineligible_reason,outcome,degraded_reason,deliverable,review_count,revision_count,initial_reward,final_reward,operational_final_pass,initial_minutes,final_conformance,task_checksum,transition,modifier_minutes,reviewer_minutes,initial_f2p_passed,initial_f2p_total,initial_p2p_passed,initial_p2p_total,final_f2p_passed,final_f2p_total,final_p2p_passed,final_p2p_total,repeat
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,wazero-multi-module-snapshots,wazero-multi-module-snapshots__exojTnd,2026-09-12T09:21:26.149681Z,True,,approved,,True,3,2,0,1,1,9.9605,matched,9a7b84a5dd3c5db5bfaeb131a8a7493384d59501fe70bdf5b305843a063442c4,0→1,24.51965,9.146416666666667,77,78,2,2,78,78,2,2,R1
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,wazero-multi-module-snapshots,wazero-multi-module-snapshots__9H7Xt57,2026-09-12T18:04:20.276770Z,True,,approved,,True,3,2,0,1,1,17.044083333333333,matched,9a7b84a5dd3c5db5bfaeb131a8a7493384d59501fe70bdf5b305843a063442c4,0→1,26.62185,12.7929,77,78,2,2,78,78,2,2,R2
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,ts-pattern-match-each,ts-pattern-match-each__oAcD6bk,2026-09-12T09:06:26.604058Z,True,,approved,,True,1,0,0,0,0,9.768683333333334,matched,045a1f9861c0c7d4d3a5f500fae6cee95de1026cd6e1c7f9fbd9c417b8a488e0,0→0,9.768683333333334,4.496766666666667,0,85,6,6,0,85,6,6,R1
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,ts-pattern-match-each,ts-pattern-match-each__PdSaRgc,2026-09-12T17:48:16.259009Z,True,,approved,,True,1,0,0,0,0,9.004383333333333,matched,045a1f9861c0c7d4d3a5f500fae6cee95de1026cd6e1c7f9fbd9c417b8a488e0,0→0,9.004383333333333,6.370633333333333,0,85,6,6,0,85,6,6,R2
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,python-statemachine-state-data-scoping,python-statemachine-state-data-s__heQko4J,2026-09-12T04:37:38.224809Z,True,,degraded,timeout,True,0,0,0,0,0,29.222333333333335,matched,855dd4db63ddabc4bdb0fd0a46e1f85f656fb63df3fb8cb7be91cd0724c7daec,0→0,29.222333333333335,55.812416666666664,69,72,1286,1286,69,72,1286,1286,R1
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,python-statemachine-state-data-scoping,python-statemachine-state-data-s__wHLxKfM,2026-09-12T13:31:56.891973Z,True,,degraded,timeout,True,1,1,0,0,0,47.3554,matched,855dd4db63ddabc4bdb0fd0a46e1f85f656fb63df3fb8cb7be91cd0724c7daec,0→0,56.40696666666667,28.614866666666668,69,72,1286,1286,69,72,1286,1286,R2
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,helm-array-merge-strategies,helm-array-merge-strategies__NHN2bxk,2026-09-12T12:00:55.311241Z,True,,degraded,timeout,True,0,0,0,0,0,21.219883333333332,matched,7694abfb1351fc30ca00b62f2faf3b18e69756bbbb4f00a6d51f3bedbba0a18a,0→0,21.219883333333332,63.81356666666667,47,47,10,12,47,47,10,12,R1
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,helm-array-merge-strategies,helm-array-merge-strategies__A5gmet9,2026-09-12T21:01:04.535178Z,True,,approved,,True,2,1,0,0,0,19.38115,matched,7694abfb1351fc30ca00b62f2faf3b18e69756bbbb4f00a6d51f3bedbba0a18a,0→0,25.056983333333335,23.707283333333333,47,47,10,12,47,47,10,12,R2
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,testem-bail-on-test-failure,testem-bail-on-test-failure__GKZqnpP,2026-09-12T06:30:57.746392Z,True,,approved,,True,1,0,0,0,0,14.916766666666666,matched,c8a697be3972b296074fcfed570016e15f8c076a01e909e3117ffba928fc1a53,0→0,14.916766666666666,13.826416666666667,89,90,489,489,89,90,489,489,R1
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,testem-bail-on-test-failure,testem-bail-on-test-failure__exHRW53,2026-09-12T15:29:59.133842Z,True,,approved,,True,1,0,0,0,0,13.790016666666666,matched,c8a697be3972b296074fcfed570016e15f8c076a01e909e3117ffba928fc1a53,0→0,13.790016666666666,14.998366666666668,89,90,489,489,89,90,489,489,R2
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,httpx-streaming-json-iteration,httpx-streaming-json-iteration__D4VQpvK,2026-09-12T07:00:38.504856Z,True,,approved,,True,2,1,1,1,1,15.321816666666667,matched,4b5db45bc7b1572218d3a534f497845884988299b9609e36ddcc2ffd6eafd294,1→1,19.331333333333333,19.78655,108,108,1404,1404,108,108,1404,1404,R1
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,httpx-streaming-json-iteration,httpx-streaming-json-iteration__m7AssqB,2026-09-12T15:59:43.704101Z,True,,approved,,True,2,1,1,1,1,11.8786,matched,4b5db45bc7b1572218d3a534f497845884988299b9609e36ddcc2ffd6eafd294,1→1,13.676666666666666,18.258,108,108,1404,1404,108,108,1404,1404,R2
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,koota-deferred-mutation-buffer,koota-deferred-mutation-buffer__J9wXUtC,2026-09-12T07:40:35.188645Z,True,,degraded,timeout,True,2,1,1,1,1,19.031166666666667,matched,7406c05a0fd37075ed64a77ad8dae33a14e35725742378e4e0bce123586b07b7,1→1,45.3139,39.676566666666666,71,71,128,128,71,71,128,128,R1
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,koota-deferred-mutation-buffer,koota-deferred-mutation-buffer__sKNw6vA,2026-09-12T16:32:24.820768Z,True,,max_reviews_reached,,True,3,3,1,1,1,16.148783333333334,matched,7406c05a0fd37075ed64a77ad8dae33a14e35725742378e4e0bce123586b07b7,1→1,36.3814,38.68216666666667,71,71,128,128,71,71,128,128,R2
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,bandit-interprocedural-taint-checks,bandit-interprocedural-taint-che__PpTucpZ,2026-09-12T06:03:39.569205Z,True,,approved,,True,1,0,1,1,1,14.8217,matched,34576b895a74560d5dc017237d87526a53a287795804d674e4f32c714234f2a6,1→1,14.8217,11.352833333333333,66,66,293,293,66,66,293,293,R1
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,bandit-interprocedural-taint-checks,bandit-interprocedural-taint-che__fQYXnzE,2026-09-12T14:58:00.922206Z,True,,approved,,True,1,0,1,1,1,12.990183333333333,matched,34576b895a74560d5dc017237d87526a53a287795804d674e4f32c714234f2a6,1→1,12.990183333333333,17.873,66,66,293,293,66,66,293,293,R2
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,optique-conditional-option-dependencies,optique-conditional-option-depen__fXYT5Tk,2026-09-12T09:56:50.633199Z,True,,approved,,True,1,0,0,0,0,22.642233333333333,matched,7b150ff265d8615a244129768a021a054f7d335e8cb90e80f87951c078e89bd4,0→0,22.642233333333333,10.90155,35,36,2034,2034,35,36,2034,2034,R1
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,optique-conditional-option-dependencies,optique-conditional-option-depen__RJhGFjW,2026-09-12T18:45:11.506692Z,True,,approved,,True,1,0,1,1,1,18.460516666666667,matched,7b150ff265d8615a244129768a021a054f7d335e8cb90e80f87951c078e89bd4,1→1,18.460516666666667,27.853266666666666,36,36,2034,2034,36,36,2034,2034,R2
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,oxvg-structural-selector-preservation,oxvg-structural-selector-preserv__VTwe6P5,2026-09-12T10:31:30.339387Z,True,,degraded,timeout,True,1,0,1,1,1,21.8366,matched,d34f5bb2ad61d90d900d615d7cf00a715ea96596ae445ba265ca37d05b89c184,1→1,37.83246666666667,47.12688333333333,6,6,62,62,6,6,62,62,R1
codex-claude,collab-codex-claude-complementary-opus-astra-xhigh-10-tasks-20260912-123715,oxvg-structural-selector-preservation,oxvg-structural-selector-preserv__4QqzfGN,2026-09-12T19:32:30.620949Z,True,,degraded,timeout,True,1,0,1,1,1,28.5456,matched,d34f5bb2ad61d90d900d615d7cf00a715ea96596ae445ba265ca37d05b89c184,1→1,43.50821666666667,41.405516666666664,6,6,62,62,6,6,62,62,R2
