direction,job,task,trial,started_at,finished_at,task_checksum,original_final_reward,original_exception_type,outcome,degraded_reason,review_count,revision_count,final_conformance,script_itt_included,completed_protocol,classification,initial_reward,initial_f2p_passed,initial_f2p_total,initial_p2p_passed,initial_p2p_total,initial_partial,final_reward,final_f2p_passed,final_f2p_total,final_p2p_passed,final_p2p_total,final_partial,repeat_by_start
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-medium-13-tasks-20260911-095901,arktype-json-schema-refs-dependencies,arktype-json-schema-refs-depende__BAVgRAk,2026-09-11T03:17:56.754484Z,2026-09-11T03:39:55.216357Z,c76f0c8ec2f874858c6db78320769f2da362bbeee864d7dd33794af9bc00c635,0,,approved,,1,0,matched,True,True,unchanged,0,23,25,1679,1679,0.9988262910798122,0,23,25,1679,1679,0.9988262910798122,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-medium-13-tasks-20260911-095901,arktype-json-schema-refs-dependencies,arktype-json-schema-refs-depende__MoobrAG,2026-09-11T10:36:21.331619Z,2026-09-11T11:02:44.091043Z,c76f0c8ec2f874858c6db78320769f2da362bbeee864d7dd33794af9bc00c635,0,,approved,,2,1,matched,True,True,unchanged,0,23,25,1679,1679,0.9988262910798122,0,23,25,1679,1679,0.9988262910798122,2
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-medium-13-tasks-20260911-095901,bandit-structured-nosec-directives,bandit-structured-nosec-directiv__oGQNhka,2026-09-11T11:02:44.099357Z,2026-09-11T11:42:48.464433Z,c1cc94defda811102cd5ea0ea9198109469bb31f271dfa9cb56468cf5e4931c9,0,,approved,,2,1,matched,True,True,unchanged,0,67,69,280,282,0.9886039886039886,0,67,69,280,282,0.9886039886039886,2
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-medium-13-tasks-20260911-095901,bandit-structured-nosec-directives,bandit-structured-nosec-directiv__vaervSo,2026-09-11T03:39:55.225974Z,2026-09-11T04:10:15.926283Z,c1cc94defda811102cd5ea0ea9198109469bb31f271dfa9cb56468cf5e4931c9,0,,approved,,2,1,matched,True,True,unchanged,0,67,69,280,282,0.9886039886039886,0,67,69,281,282,0.9914529914529915,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-medium-13-tasks-20260911-095901,effect-sse-httpapi-streaming,effect-sse-httpapi-streaming__LkdVwA4,2026-09-11T14:42:25.185184Z,2026-09-11T15:23:58.445717Z,9e6ffbbcf2d58cdb4694bc98a00ddc5cb392e0c930952c913f7820f183cf47dc,0,,approved,,1,0,matched,True,True,unchanged,0,46,47,70,70,0.9914529914529915,0,46,47,70,70,0.9914529914529915,2
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-medium-13-tasks-20260911-095901,effect-sse-httpapi-streaming,effect-sse-httpapi-streaming__Zd2obFE,2026-09-11T06:30:13.147463Z,2026-09-11T07:03:28.297016Z,9e6ffbbcf2d58cdb4694bc98a00ddc5cb392e0c930952c913f7820f183cf47dc,0,,approved,,1,0,matched,True,True,unchanged,0,46,47,70,70,0.9914529914529915,0,46,47,70,70,0.9914529914529915,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-medium-13-tasks-20260911-095901,gql-incremental-graphql-delivery,gql-incremental-graphql-delivery__hNRQyBx,2026-09-11T13:45:49.635448Z,2026-09-11T14:07:33.011666Z,62df0ef702790997b65d65be40b20eeb48fdeabddcf21e03f9e1ecba8798f3df,0,,approved,,2,1,matched,True,True,unchanged,0,17,17,810,811,0.998792270531401,0,17,17,809,811,0.9975845410628019,2
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-medium-13-tasks-20260911-095901,gql-incremental-graphql-delivery,gql-incremental-graphql-delivery__iUXaXjj,2026-09-11T05:42:04.177448Z,2026-09-11T06:00:09.377138Z,62df0ef702790997b65d65be40b20eeb48fdeabddcf21e03f9e1ecba8798f3df,0,,approved,,1,0,matched,True,True,unchanged,0,17,17,810,811,0.998792270531401,0,17,17,810,811,0.998792270531401,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-medium-13-tasks-20260911-095901,igel-persist-feature-schema,igel-persist-feature-schema__RJ8amK6,2026-09-11T04:10:15.933354Z,2026-09-11T04:29:39.368734Z,38a57e36cf8598cce742e3fd8889c2cf11c82d72031f2beb00000ed176340593,0,,approved,,1,0,matched,True,True,unchanged,0,23,24,2,2,0.9615384615384616,0,23,24,2,2,0.9615384615384616,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-medium-13-tasks-20260911-095901,igel-persist-feature-schema,igel-persist-feature-schema__hei5QbK,2026-09-11T11:42:48.471829Z,2026-09-11T11:57:05.867624Z,38a57e36cf8598cce742e3fd8889c2cf11c82d72031f2beb00000ed176340593,0,,approved,,1,0,matched,True,True,unchanged,0,23,24,2,2,0.9615384615384616,0,23,24,2,2,0.9615384615384616,2
