direction,job,task,trial,started_at,finished_at,task_checksum,original_final_reward,original_exception_type,outcome,degraded_reason,review_count,revision_count,final_conformance,script_itt_included,completed_protocol,classification,initial_reward,initial_f2p_passed,initial_f2p_total,initial_p2p_passed,initial_p2p_total,initial_partial,final_reward,final_f2p_passed,final_f2p_total,final_p2p_passed,final_p2p_total,final_partial,repeat_by_start
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,arktype-json-schema-refs-dependencies,arktype-json-schema-refs-depende__aFgt2kk,2026-09-13T04:56:15.565507Z,2026-09-13T05:52:10.816308Z,c76f0c8ec2f874858c6db78320769f2da362bbeee864d7dd33794af9bc00c635,1,,approved,,3,2,matched,True,True,unchanged,1,25,25,1679,1679,1.0,1,25,25,1679,1679,1.0,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,arktype-json-schema-refs-dependencies,arktype-json-schema-refs-depende__jyzumxB,2026-09-13T14:47:10.534389Z,2026-09-13T16:12:33.169748Z,c76f0c8ec2f874858c6db78320769f2da362bbeee864d7dd33794af9bc00c635,,RuntimeError,degraded,timeout,2,1,unavailable,False,False,unchanged,1,25,25,1679,1679,1.0,1,25,25,1679,1679,1.0,2
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,bandit-structured-nosec-directives,bandit-structured-nosec-directiv__CuoXFxd,2026-09-13T05:52:10.828400Z,2026-09-13T06:36:54.399658Z,c1cc94defda811102cd5ea0ea9198109469bb31f271dfa9cb56468cf5e4931c9,0,,approved,,2,1,matched,True,True,unchanged,0,67,69,280,282,0.9886039886039886,0,67,69,280,282,0.9886039886039886,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,bandit-structured-nosec-directives,bandit-structured-nosec-directiv__GeSuDHf,2026-09-13T16:12:33.172625Z,2026-09-13T16:49:43.081453Z,c1cc94defda811102cd5ea0ea9198109469bb31f271dfa9cb56468cf5e4931c9,0,,approved,,2,1,matched,True,True,unchanged,0,67,69,280,282,0.9886039886039886,0,67,69,280,282,0.9886039886039886,2
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,gql-incremental-graphql-delivery,gql-incremental-graphql-delivery__Cfk7HTv,2026-09-13T18:32:15.347875Z,2026-09-13T18:56:38.935661Z,62df0ef702790997b65d65be40b20eeb48fdeabddcf21e03f9e1ecba8798f3df,0,,approved,,1,0,matched,True,True,unchanged,0,16,17,810,811,0.9975845410628019,0,16,17,810,811,0.9975845410628019,2
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,gql-incremental-graphql-delivery,gql-incremental-graphql-delivery__KbgfQ3R,2026-09-13T08:48:17.048166Z,2026-09-13T09:42:30.147442Z,62df0ef702790997b65d65be40b20eeb48fdeabddcf21e03f9e1ecba8798f3df,0,,approved,,2,1,matched,True,True,unchanged,0,17,17,810,811,0.998792270531401,0,17,17,810,811,0.998792270531401,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,igel-persist-feature-schema,igel-persist-feature-schema__9ENhZHG,2026-09-13T16:49:43.088908Z,2026-09-13T17:15:10.019508Z,38a57e36cf8598cce742e3fd8889c2cf11c82d72031f2beb00000ed176340593,0,,approved,,1,0,matched,True,True,unchanged,0,23,24,2,2,0.9615384615384616,0,23,24,2,2,0.9615384615384616,2
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,igel-persist-feature-schema,igel-persist-feature-schema__aRqgT4M,2026-09-13T06:36:54.406992Z,2026-09-13T07:14:37.119818Z,38a57e36cf8598cce742e3fd8889c2cf11c82d72031f2beb00000ed176340593,0,,approved,,1,0,matched,True,True,unchanged,0,23,24,2,2,0.9615384615384616,0,23,24,2,2,0.9615384615384616,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,ink-grid-box-layout,ink-grid-box-layout__DvVtueR,2026-09-13T11:21:01.859496Z,2026-09-13T12:24:04.338554Z,d77d06ae6f88f00521783b4ac41b7a6fd93eedc1bab89f5a52b15c1520f354c9,0,,approved,,2,1,matched,True,True,unchanged,0,23,25,49,49,0.972972972972973,0,23,25,49,49,0.972972972972973,1
Codex → Claude Code,collab-codex-claude-joint-low-opus-astra-xhigh-12-tasks-20260913-111233,ink-grid-box-layout,ink-grid-box-layout__FPgxW6u,2026-09-13T20:10:28.913472Z,2026-09-13T20:36:57.203303Z,d77d06ae6f88f00521783b4ac41b7a6fd93eedc1bab89f5a52b15c1520f354c9,0,,approved,,1,0,matched,True,True,unchanged,0,23,25,49,49,0.972972972972973,0,23,25,49,49,0.972972972972973,2
